case,year,Scenario,TechSensitivity,nonsrec_energy_revenue,nonsrec_capacity_revenue,nonsrec_rps_revenue,nonsrec_revenue,capacity,output,capacityfactor,nonsrec_revenue_permwh
deepdecarbonization_dgsolar_instaterps_nointertrans,2050,DD + High Solar + 80% Instate,No Interregional Transmission Upgrade,613085357.828919,2349230.630701867,240,615434828.459621,15730.893916666668,27918570.264222734,0.20259823865754945,22.043923547485246
deepdecarbonization_dgsolar_lowngcost,2030,DD + High Solar,Low NatGas Price,216830538.95077956,1140383.089405706,-2,217970920.04018527,4370.225083333334,7839489.807756768,0.20477639269406395,27.804222645268876
deepdecarbonization_dgsolar_lowngcost,2040,DD + High Solar,Low NatGas Price,418182894.2351459,935968.1405813999,0,419118862.37572736,10473.906,18764823.185694236,0.20451807600619604,22.335348339186673
deepdecarbonization_dgsolar_lowngcost,2050,DD + High Solar,Low NatGas Price,595605254.8898599,2267054.6746681365,-1,597872308.5645281,15730.893916666668,27918570.264222734,0.20259823865754945,21.41486125207111
deepdecarbonization_dgsolar_lowrecost,2030,DD + High Solar,Low RE/BESS Cost,196196214.0737728,1461982.4572931412,-1,197658195.53106594,4370.225083333334,7839489.807756768,0.20477639269406395,25.21314529109961
deepdecarbonization_dgsolar_lowrecost,2040,DD + High Solar,Low RE/BESS Cost,363536626.71983314,3643038.270842335,0,367179664.99067545,10473.906,18764823.185694236,0.20451807600619604,19.567446032244135
deepdecarbonization_dgsolar_lowrecost,2050,DD + High Solar,Low RE/BESS Cost,565160764.5264877,8516339.260469062,-27,573677076.7869568,15730.893916666668,27918570.264222734,0.20259823865754945,20.548225477080255
deepdecarbonization_dgsolar_mid,2030,DD + High Solar,Mid,214416129.25332475,1128010.4769967697,0,215544139.73032153,4370.225083333334,7839489.807756768,0.20477639269406395,27.494664195755675
deepdecarbonization_dgsolar_mid,2040,DD + High Solar,Mid,418064738.14079225,1640030.817769927,-3,419704765.9585622,10473.906,18764823.185694236,0.20451807600619604,22.3665718459065
deepdecarbonization_dgsolar_mid,2050,DD + High Solar,Mid,623392787.9749106,2465225.5231751916,-15,625857998.4980859,15730.893916666668,27918570.264222734,0.20259823865754945,22.417265374800166
deepdecarbonization_dgsolar_noflexibleload,2030,DD + High Solar,No Flexible Load,212254173.16349202,615299.5439876168,0,212869472.70747963,4370.225083333334,7839489.807756768,0.20477639269406395,27.15348548535089
