case,year,Scenario,TechSensitivity,energy_revenue
statedpolicy_dgsolar_highngcost,2050,SP + High Solar,High NatGas Price,611727207.9176707
statedpolicy_dgsolar_highrecost,2030,SP + High Solar,High RE/BESS Cost,328124706.63712656
statedpolicy_dgsolar_highrecost,2040,SP + High Solar,High RE/BESS Cost,510207186.49455535
statedpolicy_dgsolar_highrecost,2050,SP + High Solar,High RE/BESS Cost,692078624.8010209
statedpolicy_dgsolar_instaterps_doublezcfcost,2030,SP + High Solar + 80% Instate,Doubled ZCF Fuel Price,326633141.4268683
statedpolicy_dgsolar_instaterps_doublezcfcost,2040,SP + High Solar + 80% Instate,Doubled ZCF Fuel Price,463703022.46481764
statedpolicy_dgsolar_instaterps_doublezcfcost,2050,SP + High Solar + 80% Instate,Doubled ZCF Fuel Price,476186006.8478293
statedpolicy_dgsolar_instaterps_highngcost,2030,SP + High Solar + 80% Instate,High NatGas Price,370905353.03265184
statedpolicy_dgsolar_instaterps_highngcost,2040,SP + High Solar + 80% Instate,High NatGas Price,461732553.89346504
statedpolicy_dgsolar_instaterps_highngcost,2050,SP + High Solar + 80% Instate,High NatGas Price,460910539.5296526
statedpolicy_dgsolar_instaterps_highrecost,2030,SP + High Solar + 80% Instate,High RE/BESS Cost,328124921.9048661
statedpolicy_dgsolar_instaterps_highrecost,2040,SP + High Solar + 80% Instate,High RE/BESS Cost,502767544.16279346
statedpolicy_dgsolar_instaterps_highrecost,2050,SP + High Solar + 80% Instate,High RE/BESS Cost,462065566.6715181
statedpolicy_dgsolar_instaterps_lowngcost,2030,SP + High Solar + 80% Instate,Low NatGas Price,275025253.19513154
statedpolicy_dgsolar_instaterps_lowngcost,2040,SP + High Solar + 80% Instate,Low NatGas Price,351404011.0867865
statedpolicy_dgsolar_instaterps_lowngcost,2050,SP + High Solar + 80% Instate,Low NatGas Price,249663010.84982264
statedpolicy_dgsolar_instaterps_lowrecost,2030,SP + High Solar + 80% Instate,Low RE/BESS Cost,324156502.4717533
statedpolicy_dgsolar_instaterps_lowrecost,2040,SP + High Solar + 80% Instate,Low RE/BESS Cost,373079838.98103523
statedpolicy_dgsolar_instaterps_lowrecost,2050,SP + High Solar + 80% Instate,Low RE/BESS Cost,420261992.5354922
statedpolicy_dgsolar_instaterps_mid,2030,SP + High Solar + 80% Instate,Mid,326633141.4268683
statedpolicy_dgsolar_instaterps_mid,2040,SP + High Solar + 80% Instate,Mid,456944055.3544326
statedpolicy_dgsolar_instaterps_mid,2050,SP + High Solar + 80% Instate,Mid,414193865.74147743
statedpolicy_dgsolar_instaterps_noflexibleload,2030,SP + High Solar + 80% Instate,No Flexible Load,323156729.7894311
statedpolicy_dgsolar_instaterps_noflexibleload,2040,SP + High Solar + 80% Instate,No Flexible Load,436185627.39251345
statedpolicy_dgsolar_instaterps_noflexibleload,2050,SP + High Solar + 80% Instate,No Flexible Load,454893261.57296425
statedpolicy_dgsolar_instaterps_nointertrans,2030,SP + High Solar + 80% Instate,No Interregional Transmission Upgrade,320846058.8629555
statedpolicy_dgsolar_instaterps_nointertrans,2040,SP + High Solar + 80% Instate,No Interregional Transmission Upgrade,475009246.3782232
